rho,root,equilibrium
0.369,r1,0.41446678247105434
0.37,r1,0.41596665069685423
0.371,r1,0.4174712017899205
0.372,r1,0.4189804819247966
0.373,r1,0.42049453791813707
0.374,r1,0.42201341724125746
0.375,r1,0.42353716803299474
0.376,r1,0.42506583911288925
0.377,r1,0.4265994799946975
0.378,r1,0.4281381409002454
0.379,r1,0.4296818727736328
0.38,r1,0.43123072729580075
0.381,r1,0.43278475689947116
0.382,r1,0.43434401478447354
0.383,r1,0.4359085549334667
0.384,r1,0.4374784321280726
0.384,r2,4.734517227794201
0.384,r3,4.828004340077726
0.385,r1,0.4390537019654314
0.385,r2,4.503586130733618
0.385,r3,5.05736016730095
0.386,r1,0.4406344208751951
0.386,r2,4.391330715490914
0.386,r3,5.168034863633891
0.387,r1,0.4422206461369689
0.387,r2,4.304926994720421
0.387,r3,5.2528523591426115
0.388,r1,0.4438124358982212
0.388,r2,4.232072542071146
0.388,r3,5.324115022030633
0.389,r1,0.44540984919267135
0.389,r2,4.167938101529576
0.389,r3,5.386652049277751
0.39,r1,0.44701294595917457
0.39,r2,4.1100299808463445
0.39,r3,5.442957073194481
0.391,r1,0.4486217870611198
0.391,r2,4.056860034920659
0.391,r3,5.494518178018221
0.392,r1,0.4502364343063562
0.392,r2,4.0074552685691
0.392,r3,5.542308297124545
0.393,r1,0.45185695046766755
0.393,r2,3.961137884357092
0.393,r3,5.587005165175241
0.394,r1,0.45348339930381176
0.394,r2,3.9174131382203443
0.394,r3,5.629103462475843
0.395,r1,0.4551158455811458
0.395,r2,3.8759066863692695
0.395,r3,5.668977468049585
0.396,r1,0.45675435509585377
0.396,r2,3.8363270845810273
0.396,r3,5.7069185603231185
0.397,r1,0.4583989946968017
0.397,r2,3.7984420974555406
0.397,r3,5.743158907847659
0.398,r1,0.4600498323090383
0.398,r2,3.76206306651163
0.398,r3,5.777887101179331
0.399,r1,0.46170693695796455
0.399,r2,3.727034219215153
0.399,r3,5.811258843826882
0.4,r1,0.46337037879419696
0.4,r2,3.693225133872128
0.4,r3,5.843404487333676
0.401,r1,0.4650402291191455
0.401,r2,3.6605252909686343
0.401,r3,5.87443447991222
0.402,r1,0.4667165604113349
0.402,r2,3.628840045209622
0.402,r3,5.904443394379045
0.403,r1,0.4683994463534943
0.403,r2,3.5980875899342393
0.403,r3,5.933512963712266
0.404,r1,0.4700889618604411
0.404,r2,3.568196630349842
0.404,r3,5.9617144077897155
0.40499999999999997,r1,0.4717851831077903
0.40499999999999997,r2,3.539104573103446
0.40499999999999997,r3,5.9891102437887644
0.40599999999999997,r1,0.4734881875615183
0.40599999999999997,r2,3.5107560986079873
0.40599999999999997,r3,6.015755713830494
0.407,r1,0.47519805400841
0.407,r2,3.48310202157066
0.407,r3,6.0416999244209295
0.408,r1,0.4769148625874245
0.408,r2,3.456098371602901
0.408,r3,6.066986765809675
0.409,r1,0.47863869482201304
0.409,r2,3.4297056440470897
0.409,r3,6.091655661130897
0.41,r1,0.480369633653422
0.41,r2,3.4038881839857074
0.41,r3,6.115742182360871
0.411,r1,0.4821077634750202
0.411,r2,3.378613675564741
0.411,r3,6.13927856096024
0.412,r1,0.483853170167688
0.412,r2,3.35385271540583
0.412,r3,6.162294114426481
0.413,r1,0.4856059411363091
0.413,r2,3.3295784537616147
0.413,r3,6.184815605102077
0.414,r1,0.4873661653474056
0.414,r2,3.3057662906978207
0.414,r3,6.206867543954774
0.415,r1,0.48913393336796285
0.415,r2,3.2823936173151695
0.415,r3,6.228472449316868
0.416,r1,0.4909093374054857
0.416,r2,3.2594395940993945
0.416,r3,6.249651068495119
0.417,r1,0.4926924713493391
0.417,r2,3.2368849600800598
0.417,r3,6.270422568570599
0.418,r1,0.4944834308134205
0.418,r2,3.2147118677128423
0.418,r3,6.290804701473737
0.419,r1,0.49628231318021626
0.419,r2,3.1929037393635635
0.419,r3,6.31081394745622
0.42,r1,0.49808921764629827
0.42,r2,3.1714451420312324
0.42,r3,6.33046564032247
0.421,r1,0.4999042452693182
0.421,r2,3.150321677549345
0.421,r3,6.349774077181336
0.422,r1,0.5017274990165601
0.422,r2,3.1295198859856797
0.422,r3,6.368752614997759
0.423,r1,0.5035590838151118
0.423,r2,3.1090271603475608
0.423,r3,6.387413755837327
0.424,r1,0.5053991066037266
0.424,r2,3.088831671012447
0.424,r3,6.405769222383825
0.425,r1,0.5072476763864394
0.425,r2,3.068922298558454
0.425,r3,6.423830025055107
0.426,r1,0.5091049042880132
0.426,r2,3.049288573877842
0.426,r3,6.441606521834145
0.427,r1,0.5109709036112923
0.427,r2,3.0299206246279446
0.427,r3,6.459108471760762
0.428,r1,0.5128457898965406
0.428,r2,3.0108091272158806
0.428,r3,6.47634508288758
0.429,r1,0.514729680982852
0.429,r2,2.9919452636311172
0.429,r3,6.4933250553860296
0.43,r1,0.5166226970717187
0.43,r2,2.973320682538278
0.43,r3,6.510056620390004
0.431,r1,0.518524960792852
0.431,r2,2.9549274641249794
0.431,r3,6.526547575082169
0.432,r1,0.5204365972723535
0.432,r2,2.9367580882687814
